Antioxidant;Antioxidans
Hyperaminoacidemia;
Hyperbaric stretcher;
Hyperchlorhydria;
Hyperesthesia;Hyperästhesie
Hyperglycerolemia;
Hyperglycinemia;
Hypergranulosis;
Hyperkatifeia;
Hyperkeratinization;
Hyperkyphosis;
Hyperlysinemia;
Hyperlysinuria;
Hyperostosis;Hyperostose
Hyperostosis frontalis interna;Hyperostosis frontalis interna
Hyperoxia;
Hyperpathia;
Hyperphosphatasia with mental retardation syndrome;
Hyperproinsulinemia;
Hyperprosexia;
Hyperprothrombinemia;
Hypersegmented neutrophil;
Hyperspermia;
Hypertensive leukoencephalopathy;Leukodystrophie
Hypertensive urgency;
Hypertrophic decidual vasculopathy;
Hypertrophic pulmonary osteoarthropathy;Hypertrophe Osteoarthropathie
Hyperuricosuria;
Hypervalinemia;
Hypervitaminosis E;
Hypnodermatology;
Hypoalphalipoproteinemia;
Hypobulia;
Hypochloremia;
Hypodactylia;
Hypodermyasis;
Hypodiploid acute lymphoblastic leukemia;
Hypogeusia;
Hypoglossal nucleus;Nucleus nervi hypoglossi
Hypoglossia;
Hypokinetic diseases;
Hypomimia;Maskengesicht
Hypophonia;
Hypophysectomy;
Hypophysial fossa;
Hypoplastic maxilla;
Hypoplastic right heart syndrome;
Hypoproteinemia;
Hypoprothrombinemia;
Hyporeflexia;
Hyposmia;Hyposmie
Hypotelorism;Hypotelorismus
Hypotensive transfusion reaction;
Hypothalamotegmental tract;
Hypovitaminosis;Hypovitaminose
Hypoxic hypoxia;
Hypoxic ventilatory response;
Hypsarrhythmia;Hypsarrhythmie
Hystero Contrast Sonography;Hystero-Kontrast-Salpingographie
I-LIMB Hand;
ICECI;
IEC 62304;
IEEE Medal for Innovations in Healthcare Technology;
ISO/TC 215;
Ian Osterloh;
Ian Read;Ian Read
Iatrophysics;Iatrophysik
Ibn Sina Medical College;
Ibn al-Wafid;
Ibotenic acid;Ibotensäure
Ichthyosis follicularis with alopecia and photophobia syndrome;
Ictal asystole;
Identoba;
Idiopathic giant-cell myocarditis;
Idiopathic hypoglycemia;
Idiopathic pneumonia syndrome;
Idiopathic sclerosing mesenteritis;
IgG deficiency;
Ignipuncture;
Igor Grant;
Ii antigen system;
Ikatan Naturopatis Indonesia;
Ileojejunal bypass;
Ileosigmoid knot;
Iliac spine;
Iliopsoas bursitis;
Illinois Health Benefits Exchange;
Illudin;
Imiprothrin;
Immature teratoma;
Immersion diuresis;
Immune-mediated inflammatory diseases;
Immune complex;Antigen-Antikörper-Reaktion
Immunity (journal);Immunity
Immunocompetence;Immunkompetenz
Immunoconjugate;Immunkonjugat
Immunodeficiency–centromeric instability–facial anomalies syndrome;
Immunodermatology;
Immunodiagnostics;
Immunodiffusion;Immundiffusionstest
Immunoevasin;Immunoevasine
Immunogenetics (journal);
Immunohaematology;
Immunoisolate;
Immunologic activation;
Immunological synapse;Immunologische Synapse
Immunopathology;
Immunophenotyping;Immunphänotypisierung
Immunophilins;Immunophiline
Immunoproteomics;
Immunoreactive trypsinogen;
Immunoscintigraphy;Immunszintigrafie
Immunotoxicology;
Impedance threshold device;
Impedance–pH monitoring;
Imperial College Faculty of Medicine;
Implantable gastric stimulation;
Impossible syndrome;
Inborn errors of metal metabolism;
Inborn errors of purine–pyrimidine metabolism;
Inborn errors of renal tubular transport;
Inclusion and exclusion criteria;
Inclusion body rhinitis;
Incontinence pad;
Incremental exercise;
Indacrinone;
Independent-spike coding;
Independent Reconfiguration panel;
Indian Medical Service;
Indian blood group system;
Indicative limit value;
Indirect immunoperoxidase assay;
Ineffective erythropoiesis;
Infantile progressive bulbar palsy;
Infarct Combat Project;
Infected blood scandal (France);
Infectious bone disease;
Inferior rectus muscle;Augenmuskeln#Musculus rectus inferior
Infiltrative ophthalmopathy;
Inflammatory fibroid polyp;
Inflammatory myeloblastic tumor;
Inflammatory reflex;
Influenza A virus subtype H5N9;
Influenza A virus subtype H6N1;
Information Hyperlinked over Proteins;IHOP (Datenbank)
Information addiction;
Inframammary fold;
Inhibitory control test;
Injection fibrosis;
Injury of axillary nerve;
Ink4;
Ink blot test;
Inner enamel epithelium;
Inner limiting membrane;
Inner plexiform layer;
Inova Health System;
Input and output (medicine);
Insect toxin;
Inservice program;
Inspissation;
Institut Gustave Roussy;Institut Gustave Roussy
Institute for Biodiagnostics;
Institute for Music and Neurologic Function;
Institute of Health Sciences (Ireland);
Institute of Higher Nervous Activity;
Institute of Medical Social Workers;
Institute of Sensory Organs;
Institute of Tropical Medicine Antwerp;
Institute of Virus Preparations;
Instrumented posterior lumbar interbody fusion;
Insulitis;Insulitis
Integrin alphaXbeta2;
Integrity Health;
Intensive outpatient program;
Inter-ictal spiking;
InterHealth;
Intercondylar eminence;
Intercondylar fossa of femur;
Interdigitating dendritic cell sarcoma;
Interferential therapy;
Intergroup Rhabdomyosarcoma Study Group;
Interictal dysphoric disorder;
Interior Health;
Interleukin-36;
Interleukin-3 receptor;
Interleukin-7 receptor;
Interleukin 19;
Interleukin 20;
Interleukin 26;
Interleukin 27;
Interleukin 29;
Interleukin 30;
Interleukin 31;
Interleukin 32;
Interleukin 9;
Intermediolateral nucleus;
Intermetamorphosis;
Intermicrovillous space;
Intermittent photic stimulation;
Intermittent rhythmic delta activity;
International Academy of Medical Acupuncture;
International Academy of Pathology;
International Angiology;
International Association for the Study of Pain;
International Association of Flight Paramedics;
International Breast Cancer Research Foundation;
International Cervical Cancer Foundation;
International Classification of Headache Disorders;
International Classification of Health Interventions;
International Classification of Sleep Disorders;International Classification of Sleep Disorders
International Commission on Occupational Health;
International Conference on Emerging Infectious Diseases;
International Congress of Human Genetics;
International Congress on Tuberculosis;
International Forum on Quality and Safety in Health Care;
International Headache Society;International Headache Society
International Herb Symposium;
International Journal for Parasitology;
International Journal of Developmental Neuroscience;
International Journal of Neuroscience;
International Journal of Oncology;
International Journal of Psychoanalytic Psychotherapy;
International Journal of Radiation Biology;
International Medical Education Directory;
International Medical Press;
International Midwives' Day;Internationaler Hebammentag
International Obesity Taskforce;
International Organization for Medical Physics;
International Pathogenic Neisseria Conference;
International Programme on Chemical Safety;
International School of Medicine Kyrgyzstan;
International Society for Clinical Electrophysiology of Vision;
International Society for Disease Surveillance;
International Society for Heart Research;
International Society of Acupuncture;
International Society of Biometeorology;
International Society of Blood Transfusion;
International Society of Nephrology;
International Studies of Infarct Survival;
International Stuttering Awareness Day;
International Trauma Life Support;International Trauma Life Support
International Union Against Tuberculosis and Lung Disease;
International Union of Immunological Societies;
Internodal segment;
Interpersonal and social rhythm therapy;
Interplast;
Interpleural block;
Interrupted aortic arch;
Intersalt study;
Interventional magnetic resonance imaging;
Intervertebral disc space;
Intervertebral foramina;Foramen intervertebrale
Intestinal epithelium;
Intestinal varices;
Intimal hyperplasia;
Intracardiac injection;Intrakardial
Intracavernous injection;
Intracolonic explosion;
Intracortical visual prosthesis;
Intracranial pressure monitoring;
Intradural pseudoaneurysm;
Intraepithelial neoplasia;
Intraocular hemorrhage;
Intrapleural pressure;
Intrapulmonary percussive ventilator;
Intraretinal microvascular abnormalities;
Intrascleral plexus;
Intrauterine pressure catheter;
Intravascular immunity;
Intravenous cholangiography;
Intravitreal administration;Intravitreal
Intrinsicoid deflection;
Introducer sheath;
Intussusception (blood vessel growth);
Invasive hydatidiform mole;
Inverse care law;
Inverted papilloma;
Involucrum;
Ioseb Abakelia;
Ira Byock;
Irani traditional medicine;Traditionelle Japanische Medizin
Iranian medical library and information science association;
Iridocorneal endothelial syndrome;
Iridodonesis;
Iridoplegia;
Iris scissors;
Irish Association of Physicists in Medicine;
Irish Institute of Medical Herbalists;
Iron metabolism disorder;
Iron sucrose;
Irvin Abell;
Irwin Freedberg;
Isaac Pennington;
Isala Van Diest;
Ischemic compression;
Ischemic hepatitis;
Ischemic optic neuropathy;
Ischial bursitis;
Ischial spine;
Isidor Neumann;Isidor Neumann
Isidro Salusky;
Isle of Wight Primary Care Trust;
Islet cell carcinoma;
Isoantigen;
Isogenous group;
Isolated atrial amyloidosis;
Isolated lung perfusion;
Isolation ward (medicine);Sonderisolierstation
Isosthenuria;Isosthenurie
Isotricha intestinalis;
Isotropic bands;
Isotype (immunology);
Israel Medical Association;Israel Medical Association
Israel Medical Association Journal;
Issues in Mental Health Nursing;
Ivy League nude posture photos;
J. C. McKinley;
J. Michael Criley;
J. Wayne Meredith;
JAMA Dermatology;
JAMA Internal Medicine;JAMA Internal Medicine
JAMA Neurology;JAMA Neurology
JAMA Pediatrics;
JAMA Psychiatry;JAMA Psychiatry
Jack Tuszyński;
Jacksonville Fire and Rescue Department;
Jacob Augustus Lockhart Clarke;Jacob Lockhart Clarke
Jacob Churg;Jacob Churg
Jacob Liboschütz;
Jacob Sheskin;
Jacobus Malvecius;
Jacobus Schroeder van der Kolk;Jacobus Ludovicus Conradus Schroeder van der Kolk
Jacquelin Perry;
James Augustus Rooth;
James Begbie;
James Derham;
James Garretson;
James Julian Bennett Jack;
James K. Min;
James Learmonth Gowans;James L. Gowans
James McHenry (novelist);
James Read Chadwick;
James Sherren;
James Simson;
James Taylor (neurologist);
Jamshidi needle;
Jan E Lovie-Kitchin;
Jan Palfijn;Jan Palfijn
Jan van der Hoeve;
Janeway lesion;Janeway-Läsion
Janine Jagger;
Jansky–Bielschowsky disease;
Jargon aphasia;
Jason E. Frankel;
Javal's rule;
Jaw abnormality;
Jaw jerk reflex;Eigenreflex#Masseterreflex
Jay Gordon (doctor);
Jean-André Venel;Jean-André Venel
Jean-Gabriel Berbudeau;
Jean-Michel Dubernard;
Jean Alfred Fournier;
Jean Emily Henley;Jean Emily Henley
Jean Pitard;
Jean de Carro;Jean de Carro
Jean de Nynauld;
Jejunostomy;
Jendrassik maneuver;Jendrassik-Handgriff
Jenner's stain;
Jerome Frank (psychiatrist);Jerome D. Frank
Jerome Urban;
Jerry Moe;
Jerusha Jhirad;
Jesse Koochin;
Jewish Healthcare Foundation;
Jikei University School of Medicine;
Jill Seaman;
Joanne Koenig Coste;
Job Janszoon van Meekeren;
Jobe's test;
Jod-Basedow phenomenon;
Joe Cermin;
Joel Schwartz;
Joep Lange;
Joey Jagan;
Joffroy's sign;
Johan Bellemans;
Johan Pretorius;
Johann Christian Gottlieb Ackermann;Johann Christian Gottlieb Ackermann
Johann Friedrich Cartheuser;Johann Friedrich Cartheuser
Johanna Hedén;
Johannes Acronius Frisius;Johannes Acronius Frisius
John A. Jane;
John Alexander Hopps;
John Alexander Morrison;John Alexander Morrison
John Buckley Bradbury;
John Call Dalton;John Call Dalton
John Ellis (physician);
John Farmery (physician);
John George Psychiatric Pavilion;
John Guillebaud;
John Henry Green;
John Kearsley Mitchell;
John Knowlton Bartlett;
John Mallard;
John Maubray;John Maubray
John Monahan;
John Najarian;
John Nelson (physician);
John Olney;John W. Olney
John P. A. Ioannidis;
John Patrick Spiegel;
John R. Marshall;
John Ruckdeschel;
John Ryle (professor);
John Stansfeld;
John Studd (gynaecologist);
John Thomas sign;
John Vivian Dacie;
John W. Kirklin;John Webster Kirklin
John Winfield Wallace;John Winfield Wallace
Johns Hopkins Medicine International;
Johns Hopkins in Singapore, Division of Biomedical Sciences;
Johnson–Munson syndrome;
Joint Committee for Traceability in Laboratory Medicine;
Joint injection;
Joint locking (symptom);
Joint stability;
Jolly's test;
Jonathan Oberlander;
Jones' stain;
Jonsson Comprehensive Cancer Center;
Jonty Heaversedge;
Josef Kyrle;Josef Kyrle
Josep Trueta;
Joseph A. Bonanno;
Joseph Barnes (Irish doctor);
Joseph Castello;
Joseph LaDou;
Joseph N. Shapiro;
Joseph O'Dwyer;
Joseph V. Brady;
Joseph von Lindwurm;Joseph von Lindwurm
Joswig syndrome;
José Bernardo Gutiérrez de Lara School of Medicine;
José Eduardo Pinto da Costa;
José Gilberto Montoya;
José Luis Gilarranz;
José Manuel Rivero Carvallo;
Journal of Applied Physiology;Journal of Applied Physiology
Journal of Asthma;
Journal of Biomedical Materials Research Part B;
Journal of Biomedical Nanotechnology;
Journal of Clinical Oncology;Journal of Clinical Oncology
Journal of Cognitive Neuroscience;
Journal of Ethnopharmacology;Journal of Ethnopharmacology
Journal of General Internal Medicine;
Journal of Infection Prevention;
Journal of Interprofessional Care;
Journal of Investigative Dermatology;
Journal of Manipulative and Physiological Therapeutics;
Journal of Medical Engineering & Technology;
Journal of Medical Genetics;Journal of Medical Genetics
Journal of Medicine;
Journal of Molecular Medicine;
Journal of Neuroimmunology;
Journal of Neurology, Neurosurgery, and Psychiatry;Journal of Neurology, Neurosurgery, and Psychiatry
Journal of Oncology Practice;
Journal of Orthopaedic & Sports Physical Therapy;
Journal of Orthopaedic Research;
Journal of Pain and Symptom Management;
Journal of Palliative Medicine;
Journal of Pediatric Endocrinology and Metabolism;
Journal of Physiotherapy;
Journal of Tissue Engineering;
Journal of Transcultural Nursing;
Journal of the American Academy of Psychiatry and the Law;
Journal of the American Medical Informatics Association;
Journal of the Neurological Sciences;
Joyce Daws;
Juan Manuel Montero Vázquez;Juan Manuel Montero Vázquez
Juan Manuel Suárez Del Toro Rivero;
Juan Muñoz y Peralta;
Juan Pío Manzano;
Juan Tanca Marengo;
Judith Goslin Hall;
Jules Blankfein;
Jules Germain François Maisonneuve;Jules Germain François Maisonneuve
Jules Hardy;
Jules Voncken;Jules Voncken
Junctional escape beat;
Junctional tachycardia;
Junk sleep;
Jurosomatic illness;
Juvenation;
Juvenile hemochromatosis;
Juvenile osteoporosis;
K. Srinath Reddy;
Kabul Health Sciences Institute;
Kaliuresis;
Kamel Ajlouni;Kamil Al-Ajlouni
Kanavel's sign;
Kapur–Toriello syndrome;
Karen Kyandaryan;
Karin Muraszko;
Karl Herxheimer;Karl Herxheimer
Karl Marx (medical missionary);
Karl von Pfeufer;Karl von Pfeufer
Karla Zadnik;
Karman cannula;
Karyolysis;
Karyorrhexis;Karyorrhexis
Kataegis;
Kate Isabel Campbell;
Katherine Gottlieb;
Katz syndrome;
Kaufman oculocerebrofacial syndrome;
Kawashima procedure;
Kazakh National Medical University;
Kee Chang Huang;
Keen's point;
Keith Flaherty;
Keith Goh;
Kelly's sign;
Kelly Close;
Ken Getz;
Ken Stuart;
Kendal Black Drop;
Kenneth F. Maxcy;
Kenneth Kendler;
Kent Ambulance Service;
Kent Sasse;
Kenya Medical Practitioners and Dentists Board;
Kenya Medical Research Institute;
Kenyon cell;
Keppen–Lubinsky syndrome;
Keratic precipitate;
Keratin 14;
Keratin disease;
Keratin pearl;
Keratinocyte growth factor;
Keratoderma blennorrhagicum;
Keratolytic;Keratolytikum
Keratomalacia;
Keratoscope;Keratograf
Keratosis pharyngis;
Keriorrhea;
Kerr's sign;
Kevin Reiter;
Keyhole defect;
Kgosi Letlape;
Khaja Banda Nawaz Institute of Medical Sciences;
Khodadoust line;
Kick chart;
Kidney International;Kidney International
Kids of Courage;
Killian–Jamieson diverticulum;Killian-Jamieson-Divertikel
Kinder Mountain Rescue Team;
Kinesis Myofascial Integration;
Kinesitherapy;Heilgymnastik
King's Fund;
King's Health Partners;
King Abdulllah Abdul Aziz Health Encyclopedia;
King Institute of Preventive Medicine and Research;
Kir2.1;
Kissing contusion;
Kocher's point;
Kocher's sign;
Kocher manoeuvre;
Kocher–Debre–Semelaigne syndrome;
Kock pouch;
Koeppe's nodules;
Kohnstamm's phenomenon;Kohnstamm-Effekt
Koilocyte;Koilozyt
Kokko and Rector Model;
Konrad Pesudovs;
Konstantin Monastyrsky;
Koplik's spots;
Korean Health, Education, Information and Research Center;
Korff fibers;
Korte's law;
Kraepelinian dichotomy;
Krause's glands;
Krebs–Henseleit solution;
Krukenberg's spindle;
Kuan Huang;
Kufor–Rakeb syndrome;
Kusumoto Ine;Kusumoto Ine
Kutcher Adolescent Depression Scale;
Kuwait Central Blood Bank;
Kuwait Medical Association;
Kuwait Medical Professionals;
Kynect;
Köllner's rule;
L.D. Britt;
LE cell;
LILFU;
Labial frenectomy;
Laboratory Developed Test;
Lachiewicz–Sibley syndrome;
Lacrimal apparatus;Tränenapparat
Lacrimal groove;
Lacrimal papilla;
Lacuna (histology);
Ladd's bands;
Ladin's sign;
Laguna Beach Fire Department;
Lainie Friedman Ross;
Lamellar body count;
Lamina dura;
Laminaria stick;
Lancisi's sign;
Landau reflex;
Lanfranc of Milan;Lanfrank von Mailand
Langendorff heart;
Langerhans cell sarcoma;
Langerin;
Langleys nicotine test;
Laparoscopic hernia repair;
Lardacein;
Large-cell neuroendocrine cancer;
Large cell;
Larrey's sign;
Larry Bucshon;Larry Bucshon
Larry Thibos;
Laryngocele;Laryngozele
Laryngology;
Laser radial keratotomy;
Laser scalpel;Laserskalpell
Laser thermal keratoplasty;
Last offices;
Latah;Latah
Late effect;
Lateral olfactory stria;
Lateral pontine syndrome;
Lateral vestibulospinal tract;
Lathosterolosis;
Latvian Medical Foundation;
Laudanosine;Laudanosin
Laughter-induced syncope;
Laurent Lantieri;
Laurent Mottron;
Lawrie Hugh McGavin;
Layer of rods and cones;
Le Fort fracture of ankle;
Lead hydrogen arsenate;Bleihydrogenarsenat
Lee Silverman voice treatment;
Leeds cycle response unit;
Left posterior fascicular block;
Left without being seen;
Leishmania donovani;
Leishmania infantum;
Leiv Kreyberg;
Length time bias;
Lentiginosis;
Lentigo;Lentigo
Leonard Thompson (diabetic);
Leonardo Bianchi;Leonardo Bianchi
Leonid Roshal;Leonid Michailowitsch Roschal
Leonidas (physician);
Leonine facies;Facies leonina
Leonore Tiefer;
Leontiasis ossea;
Leoparda;
Leopold Schenk;Samuel Leopold Schenk
Leprosy Control;
Leptomeningeal cancer;
Leptomeningeal collateral circulation;
Lester Breslow;
Leucocyte common antigen;
Leucoerythroblastic;
Leukocyte-promoting factor;
Leukoencephalopathy with neuroaxonal spheroids;
Leukotriene C4 synthase deficiency;
Levenson Self-Report Psychopathy Scale;
Levine's sign;
Levocardia;
Levulan;
Lewis Atterbury Stimson;
Lewis W. Wannamaker;Lewis W. Wannamaker
Lewis lead;
Lewis lung carcinoma;
Lewis offset;
Liaison Committee on Medical Education;
Liber pantegni;
Liberation by Oppression;
Libman–Sacks endocarditis;Libman-Sacks-Endokarditis
Licentiate of the Medical Council of Canada;
Liebenberg syndrome;
Liebermann–Burchard test;Liebermann-Burchard-Reaktion
Life Extension Institute;
Lifetime reserve days;
Ligamentotaxis;
Ligature (medicine);Ligatur (Chirurgie)
Lightwood–Albright syndrome;
Ligneous conjunctivitis;
Limb girdle syndrome;
Limb perfusion;
Limbal nodule;
Limbal relaxing incisions;
Limbal ring;
Limbus sign;
Limen;
Limen insulae;
Limestone Canyon virus;
Linea alba (cheek);
Lineage markers;
Lines of Zahn;
Linitis plastica;
Lipid metabolism;
Lipiduria;
Lipochrome;Lipochrome
Lipoflavonoid;
Lipopolysaccharide binding protein;
Liquefactive necrosis;
Liquid bandage;Sprühpflaster
Lisa Cooper;
Lisch epithelial corneal dystrophy;
Lisch nodule;
Liselotte Mettler;
Lisie Heart Institute;
Lisker's sign;
Listening behaviour types;
Liston knife;
Lithotripsy;
Lithotrite;
Litten's sign;
Little Baby Face Foundation;
Little Princesses;
Littlest Tumor Foundation;
Livedo;
Livedoid vasculitis;Livedovaskulopathie
Liver kidney microsomal type 1 antibody;
Liver span;
Lloyd's sign;
Lloyd Library and Museum;
Lloyd Saxon Graham;
Lobation;
Lobectomy (lung);
Lobulation;
Loeffler endocarditis;
Logorrhea (psychology);Logorrhoe
Logrolling (medicine);
Loma Linda University School of Public Health;
Long-term video-EEG monitoring;
Long face syndrome;
Long gyrus of insula;
Lord Cohen Medal;
Lorentz Eldjarn;
Los Angeles County Department of Mental Health;
Los Médicos Voladores;
Louis-Anne-Jean Brocq;
Louis-Antoine Ranvier;Louis-Antoine Ranvier
Louis Gluck;
Louis Lowenstein (medicine);
Louis Queyrat;
Louvel's sign;
Love slave;
Low-grade fibromyxoid sarcoma;
Low-set ears;
Low copy repeats;
Low pressure hydrocephalus;
Lowenberg's sign;
Lowest-observed-adverse-effect level;
Lowest published lethal dose;
Lowest published toxic dose;Geringste bekannte toxische Dosis
Lubbert's effect;
Lucey–Driscoll syndrome;
Lucio Bini;
Lucy Maria Field Wanzer;
Ludwig scale;
Lufenuron;Lufenuron
Luis Morquio;
Luka (Voyno-Yasenetsky);Lukas (Woino-Jassenezki)
Lumbar enlargement;
Lumbosacral trunk;
Lumirubin;
Lung float test;
Lung volume reduction surgery;
Lunotriquetral shear test;
Lupoid sycosis;
Lutembacher's syndrome;
Luteolysis;Luteolyse
Lutheran antigen system;
Lydia Fairchild;Lydia Fairchild
Lymph duct;
Lymphangiosclerosis;
Lymphatic endothelium;
Lymphoblastic lymphoma;
Lymphocyte function-associated antigen 1;
Lymphocytic pleocytosis;
Lymphoedema Support Network;
Lymphoepithelial lesion;
Lymphoepithelioma-like carcinoma;
Lymphoid hyperplasia;
Lymphokine;Lymphokine
Lymphoma Association;
Lymphomatoid papulosis;Lymphomatoide Papulose
Lymphoproliferative response;
Lynn Ponton;
Lépine's sign;
Léri–Weill dyschondrosteosis;
M. Bridget Duffy;
M2-PK Test;
MALOVA;
MASA syndrome;
MASS phenotype;
MDP syndrome;
METLIN;
MGC8902;
MHC restriction;MHC-Restriktion
MIDAS Trial;
MNsure;
MODY 1;
MODY 2;
MODY 3;
MODY 4;
MODY 5;
MODY 6;
MOPP (chemotherapy);
MORM syndrome;
MRC Cancer Unit;
MRC Mitochondrial Biology Unit;
MRDD;
MSin3 interaction domain;
MURCS association;
MUT (zinc finger protein);
M protein (Streptococcus);
Macewen's operation;
Macewen's sign;
Macracanthorhynchus hirudinaceus;Riesenkratzer
Macroorchidism;
Macroovalocyte;
Macroparasite;
Macrophagic myofasciitis;
Macrostomia;
Macrotia;
Macular Society;
Macular hypoplasia;
Madeline Levine;
Magboi virus;
Magnan's sign;
Magnetic-targeted carrier;
Magnetic Resonance in Medicine;
Magnetic gait;
Magnetic resonance cholangiopancreatography;Magnetresonanz-Cholangiopankreatikographie
Magnetic resonance elastography;
Magnetic resonance spectroscopic imaging;
Magnetophosphene;Magnetophosphen
Mahaim accessory pathway;
Maharashtra Association of Resident Doctors;
Maharashtra Institute of Medical Education and Research;
Mahmood Haider;
Maidstone and Tunbridge Wells NHS Trust;
Maifan Stone;
Maisonneuve fracture;Maisonneuve-Fraktur
Majewski's polydactyly syndrome;
Major aortopulmonary collateral artery;MAPCA
Malabar Institute of Medical Sciences;
Malacia;
Malar flush;
Malar rash;Schmetterlingserythem
Malcolm Payne;
Maldivian Medical Association;
Male genital disease;
Male menstruation;
Malignant ectomesenchymoma;
Malignant edema;
Malignant fibrous cytoma;
Malignant meningioma;
Malignant triton tumor;
Mallory body;Mallory-Körper
Malnutrition–inflammation complex;
Malouf syndrome;
Malpighian layer;
Mammary myofibroblastoma;
Mammillotegmental fasciculus;
Manchester score;
Mandrin (medical equipment);Mandrin (Medizin)
Manghihilot;
Manikin;
Manipal Foundation;
Manning criteria;
Manometry;
Mantias;
Mantleoma;
Manual of Medical Diagnostics and Healthcare;
Marburg multiple sclerosis;
Marcellus of Side;
Marcelo Martinez-Ferro;
Marche a petit pas;
Marchiafava–Bignami disease;Marchiafava-Bignami-Syndrom
Marfanoid;
Margaret Chung;
Marginal mandibular branch of the facial nerve;
Marginal zone B-cell;
Maria Medina Coeli;
Marian University College of Osteopathic Medicine;
Marianne Koch;Marianne Koch
Marie Cassidy;
Marie Jonet Dugès;
Mario Negri Institute for Pharmacological Research;
Mario Raviglione;
Marion Sulzberger;
Marius Barnard (surgeon);
Mark Harrington (HIV/AIDS activist);
Mark Morningstar;
Mark O.M. Tso;
Mark Roth (scientist);
Mark Siegler;
Mark Singer;
Marker chromosome;Markerchromosom
Markle sign;
Marko Godina;
Marlena Fejzo;
Marshall M. Parks;
Marshall R. Urist;
Martinotti cell;
Mary Tinetti;
Maryland Health Benefit Exchange;
Masaki Watanabe;
Masao Ito;Masao Itō
Masha and Dasha Krivoshlyapova;
Mason Fitch Cogswell;
Massachusetts Medical Society;
Massachusetts smallpox epidemic;
Massive giant-cell tumor of pelviacetabulum;
Mast cell sarcoma;
Master of Science in Nursing;
Master of Science in Respiratory Care;
Maternal and Newborn Health in Ethiopia Partnership – MaNHEP;
Mathilda Fogman;
Matrix-Core;
Matteo Carandini;
Matthaeus Platearius;
Maudsley Bipolar Twin Study;
Maudsley Prescribing Guidelines;
Max Gomez;
Max Planck Institute for Experimental Medicine;
Max Planck Institute for Molecular Biomedicine;Max-Planck-Institut für molekulare Biomedizin
Max Planck Institute of Experimental Endocrinology;
Max Snodderly;
Maxillary hypoplasia;
Maxillary lateral incisor agenesis;
Maxillofacial prosthetist and technologist;
Maxim Cheeran;
Maydl's hernia;
Mayne's sign;
May–White syndrome;
McEwen Centre for Regenerative Medicine;
McGill Journal of Medicine;
McGill Pain Questionnaire;
McGillivray syndrome;
McGovern Institute for Brain Research;
McGuire programme;
McN5652;
McRoberts maneuver;
Meal replacement;
Mean arterial pressure;Mittlerer arterieller Druck
Mean circulatory filling pressure;
Mean corpuscular hemoglobin;Mittleres Korpuskuläres Hämoglobin
Means–Lerman scratch;
Measured environmental concentration;
Mechanical anisocoria;
Mechanical hemolytic anemia;
Mechanomyogram;
Meckelian groove;
MedCoast Ambulance Service;
MedWatch;
Medarex;
Medflight;
Medial cord;
Medial eminence of floor of fourth ventricle;
Medial eye fields;
Medial frontal gyrus;
Medial lemniscus;
Medial olfactory stria;
Medial pontine syndrome;
Medial rectus muscle;Augenmuskeln#Musculus rectus medialis
Medial supraclavicular lymph node;
Medial vestibulospinal tract;
Median arcuate ligament;
Median mandibular cyst;
Median sternotomy;Sternotomie
Mediastinal fibrosis;
Mediastinal large B cell lymphoma;
Mediastinoscope;
Medicaid estate recovery;
Medical Compendium in Seven Books;
Medical Council of Canada Qualifying Examination;
Medical Defence Union;
Medical Devices Directive;Richtlinie 93/42/EWG über Medizinprodukte
Medical Library Association of Great Britain and Ireland;
Medical Mercy Missions;
Medical News Today;
Medical Reform Group;
Medical Teacher;
Medical University of Warsaw;Medizinische Universität Warschau
Medical and Dental Defence Union of Scotland;
Medical brigade;
Medical calculator;
Medical campus of Philadelphia;
Medical care ratio;
Medical cups;
Medical education in Iraq;
Medical humanities;
Medical oddity;
Medical organization;
Medical pluralism;
Medical science liaison;
Medicare, Medicaid, and SCHIP Balanced Budget Refinement Act of 1999;
Medicare Payment Advisory Commission;
Medicare and Medicaid Extenders Act of 2010;
Medication Administration Record;
Medicen;
Medicinal product;
Medico-Chirurgical Transactions;
MedicoLegal Investigations Ltd;
Medicus Mundi International;Medicus Mundi International
Medihoney;
Medius (physician);
Medix Ambulance Service;
Medpedia;
Medrad Inc.;
Medstar Television;
Medulla (hair);
Medullary carcinoma;
Medullipin;
Medway Community Healthcare;
Megacystis;
Megakaryoblast;Thrombopoese#Megakaryoblast
Megakaryocyte–erythroid progenitor cell;
Megalencephalic leukoencephalopathy with subcortical cysts;
Megaloblast;Megaloblast
Megalocornea;
Megarectum;
Meges of Sidon;
Mel Brieseman;
Mel Krajden;
Melanoglossia;
Melanoma Research;
Melanosis;
Melanotropin receptor;
Melasma suprarenale;
Meleda disease;
Melnick–Needles syndrome;
Meltzer's triad;
Membranous labyrinth;
Memory clinic;
Men's Health Forum;
Menemachus;
Meningeal biopsy;
Meningeal carcinomatosis;Meningeosis neoplastica
Meningohydroencephalocoele;
Menlo Park Fire Department;
Menno Sluijter;
Mental Health (Public Safety and Appeals) (Scotland) Act 1999;
Mental Treatment Act 1930;
Mental environment;
Mental event;
Mental health trust;
Mental nerve;
Mental retardation and microcephaly with pontine and cerebellar hypoplasia;
Mentzer index;
Mercapturic acid;Mercaptursäure
Merciful anosmia;
Mercury Phoenix Trust;Mercury Phoenix Trust
Meromelia;
Merosome;
