Antioxidant;Antioxidans
Navajo ethnobotany;Navajo-Ethnobotanik
Needle gauge comparison chart;Gauge-Nadel Vergleichs-chart
Outline of exercise;Gliederung der übung
Outline of obstetrics;Gliederung der Geburtshilfe
PM&R Residency Programs in the United States;PM&R Residency-Programme in den Vereinigten Staaten
Physical Medicine and Rehabilitation Residency Programs in the United States;Physikalische Medizin und Rehabilitation Residency-Programme in den Vereinigten Staaten
Physician writer;Dichterarzt
Prevalence of female genital mutilation by country;Prävalenz der weiblichen Genitalverstümmelung von Land
Pulmonary cyst;Lungen-Zyste
Regius Professor of Physic (Dublin);Regius Professor der Physik (Dublin)
Rema Lapouse Award;Rema Lapouse Award
Retrospective diagnoses of autism;Retrospektive Diagnose von Autismus
Sclerosis (medicine);Sklerose
St John Ambulance Australia Cadet National Championship Winners;St John Ambulance Australien Kadett National-Championship-Gewinner
State health agency;Staatliche Gesundheitsamt
Stockpiling antiviral medications for pandemic influenza;Bevorratung antiviraler Medikamente gegen influenza-Pandemie
Terminologia Anatomica;Terminologia Anatomica
Terri Schiavo timeline;Terri Schiavo Zeitleiste
Timeline of Minamata disease;Zeitleiste der Minamata-Krankheit
Timeline of immunology;Timeline-Immunologie
Timeline of reproductive rights legislation;Zeitleiste der reproduktiven Rechte Rechtsvorschriften
Timeline of sexual orientation and medicine;Zeitleiste der sexuellen Ausrichtung und der Medizin
Wolf Prize in Medicine;Wolf-Preis in der Medizin
Working Formulation;Arbeiten Formulierung
Runner's knee;Runner ' s knee
Half-identical twin;Halb-eineiiger Zwilling
Psychiatric genetics;Psychiatrische Genetik
Balance billing;Balance Abrechnung
Eco-friendly dentistry;Eco-freundliche Zahnmedizin
John Ralston Williams;John Ralston Williams
Muse cell;Muse Zelle
Ronald C. Kennedy;Ronald C. Kennedy
Stereoelectroencephalography;Stereoelectroencephalography
Swaim's Panacea;Swaim das Allheilmittel
Tip link;Link-Tipp
Trauma quality improvement program;Trauma-Programm zur Verbesserung der Qualität
Western Michigan University Homer Stryker M.D. School of Medicine;Western Michigan University Homer Stryker MD School of Medicine
Acrokeratoelastoidosis;Acrokeratoelastoidosis
Acropustulosis;Acropustulosis
Affected community;Betroffen community
Agenesis;Agenesie
Angina (disambiguation);Angina
Barber's itch;Barbier ' s Juckreiz
Bazex syndrome;Bazex-Syndrom
Bipolar spectrum disorder;Bipolare Spektrum-Störung
Bird flu;Vogelgrippe
Birth control (disambiguation);Empfängnisverhütung (Begriffsklärung)
Bouba;Bouba
Brain injury;- Hirn-Verletzungen
Burn (disambiguation);Burn
Cervical artery dissection;Gebärmutterhalskrebs Arterie Dissektion
Cholangitis (disambiguation);Cholangitis (Begriffsklärung)
Chronic lung disease;Chronische Lungenerkrankung
Columella (disambiguation);Columella
Condyloma;Condylomata
Corpora paraaortica;Korpora paraaortica
Crepitation;Krepitation
Cutaneous lymphoma;Kutanes Lymphom
Cylindroma;Zylindrom
Cytology;Zytologie
Cytotherapy;Cytotherapy
Depressive;Depressive
Dermatome;Dermatome
Diaphragmatic spasm;Zen-Krampf
Doctor;Doctor
Doppler;Doppler
Dr. Death;Dr. Tod
Drug (disambiguation);Droge (Begriffsklärung)
Dystrophy;Dystrophie
Ekbom syndrome;Ekbom-Syndrom
Electromagnetic therapy;Elektromagnetische Therapie
Enteric bacteria (disambiguation);Die Darmbakterien (Begriffsklärung)
Epicondylitis;Epicondylitis
Ethical issues in psychiatry;Ethische Fragen in der Psychiatrie
Eventration;Eventration
Eyewear;Brillen
Facies diaphragmatica;Facies diaphragmatica
Fetoscope;Fetoscope
Foramen cecum;Foramen Caecum
Fossa navicularis;Fossa navicularis
Fossa ovalis;Fossa ovalis
Frequency dependence;Frequenzabhängigkeit
Frontal gyrus;Frontal gyrus
Fundus;Fundus
Gastro;Gastro
Granuloma fissuratum;Granulom fissuratum
Haematooncology;Haematooncology
Hemangiomatosis;Hämangiomatose
Hemianopsia;Hemianopsie
Histiocytoma;Histiocytoma
Hoover's sign;Hoover ist Zeichen
Hydatid of Morgagni;Morgagni-Hydatide
Infantile fibromatosis;Infantile fibromatosis
Jungle rot;Jungle rot
Keratodermia punctata;Keratodermia punctata
Keratosis extremitatum progrediens;Keratosis extremitatum progrediens
Keratosis follicularis;Keratosis follicularis
Keratosis palmoplantaris transgrediens et progrediens;Keratosis palmoplantaris transgrediens et progrediens
Kettering Health Network;Kettering Gesundheit Netzwerk
Localized hypertrichosis;Lokalisierte hypertrichosis
Lung tumor;Lungen-tumor
Mammillaria (disambiguation);Mammillaria (Begriffsklärung)
Mannosidosis;Mannosidosis
Medical Service Corps;Medizinische Service Corps
Metacarpal arteries;Mittelhandknochen Arterien
Modulin;Modulin
Mucocele;Mucocele
Musculi interossei;Musculi interossei
Myeloid leukemia;Myeloische Leukämie
Occipital neuritis;Occipital neuritis
Otitis;Otitis
Ovarian stimulation;Stimulation der Eierstöcke
Paget's disease;Morbus Paget
Papulotranslucent acrokeratoderma;Papulotranslucent acrokeratoderma
Paroxysm;Paroxysmus
Pectus;Pectus
Pityriasis lichenoides;Pityriasis lichenoides
Plant-based diet;Pflanzliche Ernährung
Platyspondylic lethal skeletal dysplasia;Platyspondylic tödliche Skelett-Dysplasien
Pockmark;Pockmark
Poison ivy (disambiguation);Poison Ivy
Poisoning (disambiguation);Vergiftung
Premier Health Partners;Premier Health Partner
Processus pyramidalis;Processus pyramidalis
Pruritus of genital organs;Juckreiz der Geschlechtsorgane
Psychalgia;Psychalgia
Punctate keratoderma;Punktförmigen keratoderma
Rami bronchiales;Rami bronchiales
Red man syndrome;Rot-Mann-Syndrom
Sadism;Sadismus
Sandfly fever;Sandfly-Fieber
Schilder's disease;Schilder-Krankheit
Sex chromosome disorders;Sex chromosomenstörungen
Short rib – polydactyly syndrome;Kurze Rippe - polydaktylie-Syndrom
Sociopathy;Soziopathie
St. Anthony's fire;St. Anthony ' s Feuer
Subcutaneous fat necrosis;Subkutanes Fett Nekrose
Superior ramus;Ramus Superior
Systems neuroscience;Systems neuroscience
Tache noir;Tache noir
Tenesmus;Tenesmus
The Four T's;Die Vier T
Thrombin-activatable fibrinolysis inhibitor;Thrombin-aktivierbare Fibrinolyse-Hemmer
Tinea circinata;Tinea circinata
Tooth loss;Zahnverlust
Toxemia;Blutvergiftung
Tylosis;Tylosis
Unprotected sex;Ungeschützten sex
Urethral orifice;Harnröhren-öffnung
Valve replacement;Ersatz-Ventil
Varices;Varizen
Volar carpal branch;Volare Karpal-Filiale
2009 flu pandemic in Singapore;2009 Grippe-Pandemie in Singapur
2009 flu pandemic in Thailand;2009 Grippe-Pandemie in Thailand
4p- syndrome;4p - Syndrom
A-type inclusion;A-Typ Aufnahme
A4V;A4V
ABCD guideline;ABCD-Richtlinie
ADAM complex;ADAM-Komplex
AEC syndrome;AEC-Syndrom
AIDS-associated Kaposi sarcoma;AIDS-assoziierten Kaposi-Sarkom
ALOS (health care);ALOS (Gesundheits -)
ANCA-associated vasculitides;ANCA-assoziierten vasculitides
APECED syndrome;APECED-Syndrom
ARC syndrome;ARC-Syndrom
AV block;AV-block
AV reentrant tachycardia;AV-Tachykardien
Aase–Smith syndrome;Aase-Smith-Syndrom
Abdominal fat;Bauchfett
Aberrant basal cell carcinoma;Abweichende Basalzellkarzinom
Abfarad;Abfarad
Abolitionism (abortion);Abschaffung der Sklaverei (Abtreibung)
Abortion rights movements;Das Recht auf Abtreibung Bewegungen
Abrikossoff's tumor;Abrikossoff tumor
Abrikossov's tumor;Abrikossov tumor
Absent radius;Absent radius
Acantholytic herpetiform dermatitis;Acantholytic herpetiform dermatitis
Acanthome cellules claires of Degos and Civatte;Acanthome cellules claires von Degos und Civatte
Acanthosis nigricans associated with malignancy;Acanthosis nigricans im Zusammenhang mit malignen Erkrankungen
Acanthosis nigricans associated with obesity, insulin-resistant states, and endocrinopathy;Acanthosis nigricans mit Adipositas, insulin-resistenten Staaten, und endocrinopathy
Acanthosis nigricans type I;Acanthosis nigricans Typ I
Acanthosis nigricans type II;Acanthosis nigricans Typ II
Acanthosis nigricans type III;Acanthosis nigricans Typ III
Acatalasemia;Acatalasemia
Accelerated rheumatoid nodulosis;Beschleunigt die rheumatoide nodulosis
Accessory nipple;Zubehör Nippel
Achenbach syndrome;Achenbach-Syndrom
Ackerman tumor;Ackerman tumor
Acne excoriée des jeunes filles;Acne excoriée des jeunes filles
Acne infantum;Acne infantum
Acne inversa;Akne inversa
Acne keloidalis;Akne keloidalis
Acne neonatorum;Acne neonatorum
Acne rosacea;Akne rosacea
Acne varioliformis;Akne varioliformis
Acne vermoulante;Akne vermoulante
Acne vermoulanti;Akne vermoulanti
Acneiform eruptions;Acneiform Eruptionen
Acoustic neuroma;Akustikusneurinom
Acquired aquagenic palmoplantar keratoderma;Erworben aquagenic palmoplantare keratoderma
Acquired bilateral nevus of Ota-like macules;Erworben bilateralen Naevus Ota-wie Hautflecken
Acquired dermal melanocytosis;Erworben dermal melanocytosis
Acquired digital fibrokeratoma;Erworbenen digitalen fibrokeratoma
Acquired dyskeratotic leukoplakia;Erworben dyskeratotic Leukoplakie
Acquired generalized hypertrichosis;Erworben generalisierte hypertrichosis
Acquired hypertrichosis lanuginosa;Erworben hypertrichosis lanuginosa
Acquired hypogammaglobulinemia;Erworben hypogammaglobulinämie
Acquired ichthyosis;Erworben ichthyosis
Acquired partial lipodystrophy;Erworben partielle Lipodystrophie
Acquired perforating collagenosis;Erworben Perforieren Kollagenosen
Acquired periungual fibrokeratoma;Erworben periungual fibrokeratoma
Acquired plantar keratoderma;Erworben plantar-keratoderma
Acquired progressive kinking;Erworben progressive Knicken
Acquired tufted angioma;Erworben getuftet angioma
Acral acanthosis nigricans;Acral acanthosis nigricans
Acral acanthotic anomaly;Acral acanthotic Anomalie
Acral mycoses fungoides;Acral Mykosen fungoides
Acral peeling skin syndrome;Acral peeling-skin-Syndrom
Acroangiodermatitis of Mali;Acroangiodermatitis von Mali
Acrocephalosyndactyly;Acrocephalosyndactyly
Acrodermatitis continua;Acrodermatitis continua
Acrodermatitis continua of Hallopeau;Acrodermatitis continua von Hallopeau
Acrodermatitis continua suppurativa Hallopeau;Acrodermatitis continua suppurativa Hallopeau
Acrodermatitis perstans;Acrodermatitis perstans
Acrokeratoelastoidosis lichenoides;Acrokeratoelastoidosis lichenoides
Acrokeratosis neoplastica;Acrokeratosis neoplastica
Acrokeratosis verruciformis of Hopf;Acrokeratosis verruciformis von Hopf
Acrokeratotic poikiloderma;Acrokeratotic poikiloderma
Acromelalgia;Acromelalgia
Acropustulosis of infancy;Acropustulosis der kindheit
Acrosyringeal nevus of Weedon and Lewis;Acrosyringeal Muttermal von Weedon und Lewis
Acrylic monomer dermatitis;Acryl-monomer dermatitis
Actinic cheilosis;Aktinische cheilosis
Actinic lichen niditus;Aktinische lichen niditus
Actinic lichen planus;Aktinische lichen planus
Actinic purpura;Aktinische purpura
Actinic reticuloid;Aktinische reticuloid
Actuarial escape velocity;Versicherungsmathematische Fluchtgeschwindigkeit
Acuminatus;Acuminatus
Acute HIV infection;Akute HIV-Infektion
Acute erythema nodosum;Akute erythema nodosum
Acute febrile neutrophilic dermatosis;Akute febrile Neutrophile Dermatose
Acute febrile ulcerative acne;Akuten fieberhaften Colitis Akne
Acute guttate parapsoriasis;Akute guttata parapsoriasis
Acute hemorrhagic edema of childhood;Akute hämorrhagische ödem der kindheit
Acute membranous gingivitis;Akute membranöse gingivitis
Acute necrotizing ulcerative gingivostomatitis;Akute nekrotisierende ulzerierende gingivostomatitis
Acute on chronic;Akute auf chronische
Acute parapsoriasis;Akute parapsoriasis
Acute paronychia;Akute Paronychie
Acute phase;Akute phase
Acute pityriasis lichenoides;Akute pityriasis lichenoides
Acute radiodermatitis;Akute radiodermatitis
Acute retroviral syndrome;Akute retrovirale-Syndrom
Acute scrotum;Akute Skrotum (Hodensack)
Acute tuberculous ulcer;Akute tuberkulösen Geschwür
Acute urticaria;Akute Urtikaria
Acute vesiculobullous hand eczema;Akute vesikulobullöser hand Ekzeme
Aden ulcer;Aden Geschwür
Adenoid facies;Adenoid Fazies
Adenoid seborrheic keratosis;Adenoid seborrhoische Keratose
Adenoid squamous-cell carcinoma;Adenoid Plattenepithelkarzinome-Zell-Karzinom
Adenoma toxicum;Adenom toxicum
Adhesive dermatitis;Klebstoff dermatitis
Adjuvant radiotherapy;Adjuvante Strahlentherapie
Adrenal SAHA syndrome;Nebennieren-SAHA-Syndrom
Adrenal carcinoma;Nebennierenrinden-Karzinom
Adrenal hyperplasia;Nebennieren-Hyperplasie
Adrenomyeloneuropathy;Adrenomyeloneuropathy
Adult linear IgA disease;Erwachsene lineare IgA-Krankheit
Adult progeria;Erwachsene progerie
Advanced Neuromodulation System;Erweiterte Neuromodulation-System
African cutaneous Kaposi sarcoma;Afrikanische Haut Kaposi-Sarkom
African lymphadenopathic Kaposi sarcoma;Afrikanische lymphadenopathic Kaposi-Sarkom
Afzelius' disease;Afzelius' Krankheit
Agitated saline contrast test;Aufgeregt Kochsalzlösung Kontrast-test
Ahlback disease;Ahlback Krankheit
Air hunger;Air hunger
Airbag burn;Airbag brennen
Akinesia;Akinesie
Albinism–black lock–cell migration disorder of the neurocytes of the gut–deafness syndrome;Albinismus-schwarz-lock-cell migration Störung der neurocytes der Darm-Taubheit-Syndrom
Albright's disease;Albright-Krankheit
Aleppo boil;Aleppo Kochen
Allergic;Allergische
Allergic contact cheilitis;Allergische Kontakt cheilitis
Allergic contact stomatitis;Allergische Kontakt-stomatitis
Allergic granulomatosis;Allergische granulomatose
AllergoOncology;AllergoOncology
Alopecia cicatrisata;Alopezie cicatrisata
Alopecia congenita with keratosis palmoplantaris;Alopezie congenita mit keratosis palmoplantaris
Alopecia unguium;Alopezie unguium
Alopecia–nail dystrophy–ophthalmic complications–thyroid dysfunction–hypohidrosis–ephelides and enteropathy–respiratory tract infections syndrome;Alopezie-Nagel-Dystrophie-Ophthalmologische Komplikationen-Schilddrüsen-Dysfunktion-hypohidrosis-ephelides und Enteropathie-Infektionen der Atemwege-Syndrom
Alpha-1 antitrypsin deficiency panniculitis;Alpha-1-antitrypsin-Mangel pannikulitis
Alpha-N-acetylgalactosaminidase deficiency;Alpha-N-acetylgalactosaminidase-Mangel
Alpha1-protease deficiency panniculitis;Alpha1-protease-Mangel pannikulitis
Alpha1-proteinase deficiency panniculitis;Alpha1-proteinase-Mangel pannikulitis
Alymphocytosis;Alymphocytosis
Amelanotic blue nevus;Amelanotic blauer Nävus
Amen classification;Amen Klassifizierung
American Journal of Diseases of Children;American Journal of Erkrankungen von Kindern
Amniotic band sequence;Fruchtwasser-band-Sequenz
Amniotic band syndrome;Fruchtwasser-band-Syndrom
Amoebic meningitis;Amöbische meningitis
Amputation neuroma;Amputation Neurom
Anaphylactoid purpura;Anaphylaktoide purpura
Anderson–Fabry disease;Anderson-Fabry-Krankheit
Androgenetic alopecia;Androgenetische Alopezie
Aneisokonia;Aneisokonia
Anesthesia of the brachial plexus;Anästhesie des plexus brachialis
Anetoderma maculosa;Anetoderma maculosa
Anetoderma maculosa cutis;Anetoderma maculosa cutis
Angel's kiss;Angel ' s kiss
Angelina Jolie cancer treatment;Angelina Jolie Krebs
Angioblastoma;Angioblastoma
Angioblastoma of Nakagawa;Angioblastoma von Nakagawa
Angioimmunoblastic lymphadenopathy with dysproteinemia;Angioimmunoblastisches Lymphadenopathie mit dysproteinemia
Angiokeratoma circumscriptum naeviforme;Angiokeratoma zirkumskriptes naeviforme
Angiokeratoma corporis diffusum;Angiokeratoma corporis diffusum
Angiokeratoma of Mibelli;Angiokeratoma von Mibelli
Angiokeratoma of the scrotum and vulva;Angiokeratoma das Skrotum (Hodensack) und vulva
Angioosteohypertrophy syndrome;Angioosteohypertrophy-Syndrom
Angiotropic large cell lymphoma;Angiotropic große Zell-Lymphom
Anhidrotic ectodermal dysplasia;Anhidrotic ektodermale Dysplasie
Ankle-foot orthosis;Knöchel-Fuß-Orthese
Ankle ligament injury;Knöchel-Bänder-Verletzung
Ankyloblepharon filiforme adnatum–ectodermal dysplasia–cleft palate syndrome;Ankyloblepharon filiforme adnatum-ektodermale Dysplasie-Lippen-Kiefer-Gaumen-Syndrom
Ankyloblepharon–ectodermal defects–cleft lip and palate syndrome;Ankyloblepharon-ektodermale Mängel-Lippen-Kiefer-Gaumen-Syndrom
Ankyloblepharon–ectodermal dysplasia–clefting syndrome;Ankyloblepharon-ektodermale Dysplasie-clefting-Syndrom
Anlage (biology);Anlage (Biologie)
Annealing (biology);Annealing (Biologie)
Annual Meeting of the Organization for Human Brain Mapping;Jahrestagung der Organisation for Human Brain Mapping
Annular lichen planus;Ringförmige lichen planus
Annular sarcoidosis;Ringförmige Sarkoidose
Anterior cord syndrome;Anterior-cord-Syndrom
Anterior spinal syndrome;Anterior-Wirbelsäulen-Syndrom
Anterior tibial bowing;Vordere Tibia verbeugte
Anti-TGF-beta monoclonal antibody GC1008;Anti-TGF-beta monoklonale Antikörper GC1008
Anti-mesothelin monoclonal antibody MORAb-009;Anti-mesothelin monoklonale Antikörper MORAb-009
Anti CCP antibody;Anti-CCP-Antikörper
Anticoagulant-induced skin necrosis;Antikoagulans-induzierte Nekrose der Haut
Antiphospholipid-Antibody Syndrome (APL);Antiphospholipid-Antikörper-Syndrom (APL)
Antoni van Leeuwenhoek;Antoni van Leeuwenhoek
Aortic arch syndrome;Aortenbogen-Syndrom
Aortic valve repair;Der Aortenklappe, Reparatur
Aphthae;Aphten
Aphthosis;Aphthosis
Apocrine bromhidrosis;Apokrinen bromhidrosis
Apoeccrine;Apoeccrine
Appendicolith;Appendicolith
Aquagenic keratoderma;Aquagenic keratoderma
Aquagenic syringeal acrokeratoderma;Aquagenic syringeal acrokeratoderma
Aquagenic wrinkling of the palms;Aquagenic Faltenbildung der Palmen
Arcus senilis corneae;Arcus senilis corneae
Areolar connective tissue;Areolar Bindegewebe
Arginemia;Arginemia
Argyrophilic grain disease;Silberkornkrankheit
Arrhenoblastoma;Arrhenoblastoma
Arsenic dermatitis;Arsen dermatitis
Arsenicism;Arsenicism
Arterial oxygen tension;Der arterielle Sauerstoffpartialdruck
Arthritis–dermatosis syndrome;Arthritis-Dermatose-Syndrom
Ascending paralysis;Aufsteigende Lähmung
Ascher´s syndrome;Aschers-Syndrom
Aschheim–Zondek test;Aschheim-Zondek-test
Ashy dermatosis;Ashy Dermatose
Aspartylglycosaminuria;Aspartylglycosaminuria
Associate of respiratory therapy;Mitarbeiterin für die respiratorische Therapie
Asteatotic eczema;Asteatotisches Ekzeme
Atopic winter feet;Atopische winter Füße
Atrial canal;Vorhofflimmern-Kanal
Atrioventricular canal defect;AV-Kanal defekt
Atrophia maculosa cutis;Atrophia maculosa cutis
Atrophic actinic keratosis;Atrophische aktinische Keratose
Atrophic glossitis;Atrophische glossitis
Atrophic lichen planus;Atrophische lichen planus
Atrophic polychondritis;Atrophische polychondritis
Atrophie blanche;Atrophie blanche
Atrophoderma of Pasini and Pierini;Atrophoderma von Pasini und Pierini
Atrophoderma reticulata symmetrica faciei;Atrophoderma reticulata symmetrica faciei
Atrophoderma reticulatum;Atrophoderma reticulatum
Atrophoderma vermiculata;Atrophoderma vermiculata
Atrophoderma vermiculatum;Atrophoderma vermiculatum
Atrophodermia reticulata symmetrica faciei;Atrophodermia reticulata symmetrica faciei
Atrophodermia ulerythematosa;Atrophodermia ulerythematosa
Atrophodermie vermiculée des joues avec kératoses folliculaires;Atrophodermie vermiculée des joues avec kératoses folliculaires
Atypical lipoma;Atypische Lipom
Atypical lipomatous tumor;Atypische lipomatous tumor
Atypical mole;Atypische Maulwurf
Atypical nevus;Atypische Muttermal
Atypical odontalgia;Atypische odontalgia
Audiologist;Audiologe
Auricular endochondrial pseudocyst;Ohrmuschel endochondrial pseudocyst
Austin disease;Austin Krankheit
Australasian Triage Scale;Australasian Triage-Skala
Autoerythrocyte sensitization;Autoerythrocyte Sensibilisierung
Autoimmune polyendocrinopathy–candidiasis–ectodermal dystrophy syndrome;Autoimmun-polyendocrinopathy-candidiasis-ektodermale Dystrophie-Syndrom
Autoimmune thrombocytopenic purpura;Autoimmun-thrombozytopenische purpura
Autoinfection;Autoinfection
Autosomal dominant ichthyosis;Autosomal-dominante ichthyosis
Autosomal recessive chondrodysplasia punctata type 1;Autosomal-rezessiv chondrodysplasia punctata Typ 1
Axillary granular parakeratosis;Axillären granulare parakeratosis
Axokine;Axokine
B-K mole;B-K-Maulwurf
B-K mole syndrome;B-K mol-Syndrom
B-cell malignancies;B-Zell-Malignomen
BCG-oma;BCG-oma
BCG as a treatment for bladder cancer;BCG-Behandlung von Blasenkrebs
BIDS syndrome;- GEBOTE-Syndrom
BTCP;BTCP
B virus infection;B-virus-Infektion
Bachelor of Science in Cardiopulmonary Therapy;Bachelor of Science in Herz-Lungen-Therapie
Bacterial disease;Bakterielle Krankheit
Baghdad boil;Bagdad Kochen
Bairnsdale ulcer;Bairnsdale Geschwür
Bakri Balloon Tamponade;Bakri Ballon-Tamponade
Bakri Balloon Tamponade (BBT);Bakri Ballon Tamponade (BBT)
Balanitis circumscripta plasmacellularis;Balanitis circumscripta plasmacellularis
Balanoposthitis chronica circumscripta plasmacellularis;Balanoposthitis chronica circumscripta plasmacellularis
Bald tongue;Kahl Zunge
Bamboo hair;Bambus Haar
Banal nevus;Banal Muttermal
Bang's disease;Bang-Krankheit
Bankokerend;Bankokerend
Bar room's fracture;Bar - Fraktur
Bar rooms fracture;Bar Zimmer Fraktur
Baragnosis;Baragnosis
Barber's interdigital pilonidal sinus;Barber ' s interdigital pilonidal sinus
Barcoo rot;Barcoo-rot
Barley itch;Gerste Jucken
Barometric pressure therapy;Luftdruck Therapie
Basal cell nevus syndrome;Basalzell-Nävus-Syndrom
Basal cell papilloma;Der basalen Zelle papilloma
Basaloid squamous-cell carcinoma;Basaloid Plattenepithelkarzinome-Zell-Karzinom
Basosquamous cell acanthoma;Basosquamous Zelle acanthoma
Bathing trunk nevus;Bade-trunk Muttermal
Bay sore;Bay wund
Bazex-Dupre-Christol syndrome;Bazex-Dupre-Christol-Syndrom
Bazin's hydroa vacciniforme;Bazin ist hydroa vacciniforme
Bazin disease;Bazin Krankheit
Beacon Volunteer Ambulance Corps;Leuchtturm Freiwilligen Ambulance Corps
Beaded hair;Perlen-Haar
Becker's melanosis;Becker Melanose
Becker's pigmentary hamartoma;Becker Pigment-hamartoma
Bedbug bite;Wanze Biss
Bedrest;Bedrest
Bedside test;Bedside-Test
Bee and wasp stings;Bienen-und wespenstiche
Behçet's syndrome;Morbus adamantiades-Syndrom
Ben Hardwicke;Ben Hardwicke
Benign juvenile melanoma;Gutartige juvenile Melanom
Benign lichenoid keratosis;Gutartige lichenoide Keratose
Benign lymphangioendothelioma;Gutartige lymphangioendothelioma
Benign lymphocytic infiltration of the skin;Gutartige lymphozytäre infiltration der Haut
Benign mammary dysplasia;Gutartige Mamma-Dysplasie
Benign migratory glossitis;Gutartige wandernden glossitis
Benign migratory stomatitis;Gutartige wandernden stomatitis
Benign mucosal pemphigoid;Gutartige Schleimhaut pemphigoid
Benign mucous membrane pemphigoid;Gutartige Schleimhaut pemphigoid
Benign papular acantholytic dermatosis;Gutartige Papeln acantholytic Dermatose
Benign solitary fibrous papule;Gutartige solitäre fibröse papel
Benign summer light eruption;Gutartige Sommer lichtdermatose
Benign symmetric lipomatosis of Launois–Bensaude;Benigne symmetrische lipomatose von Launois-Bensaude
Bennetts fracture;Bennetts Fraktur
Berardinelli–Seip syndrome;Berardinelli-Seip-Syndrom
Berlin syndrome;Berlin-Syndrom
Berloque dermatitis;Berloque-dermatitis
Besnier prurigo;Prurigo Besnier
Bicho de pie;Bicho de pie
Bidirectional shunt;Bidirektionale shunt
Bier block;Bier-block
Bihilar lymphadenopathy;Bihilar Lymphadenopathie
Bilharzia;Bilharziose
Bilharziasis;Bilharziose
Biliary sepsis;Biliäre sepsis
Bilirubin (data page);Bilirubin (Daten Seite)
Bipartite patella;Der zweiseitige patella
Birth Center;Geburt Center
Birth rape;Geburt Vergewaltigung
Biskra button;Biskra-Taste
Bizarre cutaneous neurofibroma;Bizarre kutane neurofibroma
Black dermatographism;Schwarz dermatographism
Black heel;Schwarz Ferse
Blaschko linear acquired inflammatory skin eruption;Blaschko lineare erworben entzündliche Hautausschläge
Blastomycetic dermatitis;Blastomycetic dermatitis
Bloch–Siemens syndrome;Bloch-Siemens-Syndrom
Bloch–Sulzberger disease;Bloch-Sulzberger-Krankheit
Bloch–Sulzberger syndrome;Bloch-Sulzberger-Syndrom
Blood-sampling device;Blut-sampling device
Blood island;Blood island
Blood oxygen level;Blood oxygen level
Bloom–Torre–Machacek syndrome;Bloom-Torre-Machacek-Syndrom
Blown pupil;Geblasen Schüler
Blue neuronevus;Blau neuronevus
Blue nevus of Jadassohn–Tièche;Blauer Nävus von Jadassohn-Tièche
Body fat meter;Körperfett-Messgerät
Body plethysmography;Body-plethysmographie
Bombardier beetle burn;Bombardier Käfer brennen
Borderline mental retardation;Borderline geistiger Behinderung
Borrelial lymphocytoma;Borrelien lymphocytoma
Bourneville disease;Bourneville-Krankheit
Bowel bypass syndrome;Darm-bypass-Syndrom
Bowel bypass syndrome without bowel bypass;Darm-bypass-Syndrom ohne Darm umgehen
Boxers fracture;Boxer Fraktur
Brachyonychia;Brachyonychia
Bradydysrhythmia;Bradydysrhythmia
Bradykinesia;Bradykinesia
Brain-like heterotopia;Gehirn-wie heterotopie
Brain Injury Rehabilitation Trust;Hirn-Trauma Rehabilitation Vertrauen
Brain cell;Gehirn Zelle
Brainbow mice;Brainbow Mäuse
Brainbow mouse;Brainbow Maus
Branchial cyst;Branchial Zyste
Brazilian blastomycosis;Brasilianische blastomycosis
Bread loafing;Brot, faulenzen
Break-bone fever;Break-Knochen-Fieber
Breakthrough pain;Durchbruchschmerzen
Breathing circuit;Atmung Schaltung
Bridges–Good syndrome;Brücken-Gut-Syndrom
Brittle diabetes;Spröde diabetes
Brittle hair–intellectual impairment–decreased fertility–short stature syndrome;Sprödes Haar-geistiger Behinderung-verminderte Fruchtbarkeit-Kleinwuchs-Syndrom
Brittle nails;Brüchige Nägel
Broad beta disease;Breite beta-Krankheit
Brodie's abscess;Brodie - Abszess
Broken jaw;Gebrochene Kiefer
Bromidrosiphobia;Bromidrosiphobia
Bromidrosis;Bromidrosis
Bronchial Thermoplasty;Asthma Thermoplasty
Bronze diabetes;Bronze diabetes
Brooke–Spiegler syndrome;Brooke-Spiegler-Syndrom
Brown recluse spider bite;Brown recluse spider bite
Brudziński cheek sign;Brudziński Wange Zeichen
Brudziński neck sign;Brudziński Hals Zeichen
Brunsting–Perry cicatricial pemphigoid;Brunsting-Perry narbige pemphigoid
Bruton syndrome;Bruton-Syndrom
Brünauer–Fuhs–Siemens type of palmoplantar keratoderma;Brünauer-Fuhs-Siemens Typ palmoplantare keratoderma
Buccal mucosa;Wangenschleimhaut
Buccal space abscess;Bukkalen Raum Abszess
Buccal space infection;Bukkalen Raum-Infektion
Buccinator space;Buccinator Raum
Bucha effect;Bucha-Effekt
Buckley syndrome;Buckley-Syndrom
Buerger's disease;Buerger-Krankheit
Buffer base;Puffer-base
Bullosis diabeticorum;Bullosis diabeticorum
Bullous acrokeratotic poikiloderma of Kindler and Weary;Bullöse acrokeratotic poikiloderma von Kindler und Müde
Bullous congenital ichthyosiform erythroderma;Bullöse kongenitale ichthyosiforme erythrodermie
Bullous drug eruption;Bullöse arzneiexanthem
Bullous eruption of diabetes mellitus;Bullöse Ausbruch von diabetes mellitus
Bullous ichthyosiform erythroderma;Bullöse ichthyosiforme erythrodermie
Bullous lichen planus;Bullöse lichen planus
Bullous variant of small vessel vasculitis;Bullöse Variante des kleinen Schiffes Vaskulitis
